"mic_id","lat","lon"
1,14.2565604321184,106.557782238733
2,14.2565604321184,106.538641477467
3,14.2565604321184,106.5195007162
4,14.2565604321184,106.500359954934
5,14.2745468642367,106.600402619596
6,14.2745468642367,106.623882239193
7,14.2745468642367,106.647361858789
8,14.2745468642367,106.670841478386
9,14.2925332963551,106.540950135763
10,14.2925332963551,106.504977271526
11,14.2925332963551,106.46900440729
12,14.2925332963551,106.433031543053
13,14.3105197284735,106.68050273438
14,14.3105197284735,106.784082468761
15,14.3105197284735,106.887662203141
16,14.3105197284735,106.991241937521
